"","Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"134","41","10FH43","Ruby-throated Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"135","41","10FH52","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"136","40","10EL76","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"137","41","10EG25","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"138","41","10EG99","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"139","41","10EH71","Ruby-throated Hummingbird","H","POSS","1","1","0.44","0.0044","1","#FFA500","#FFA500"
"140","41","10FG09","Ruby-throated Hummingbird","T","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"141","41","10FG21","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"142","41","10FG38","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"143","41","10FG47","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"144","41","10FG58","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"145","41","10FG85","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"146","41","10FG87","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"147","41","10FH24","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"148","41","10FH42","Ruby-throated Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"149","41","10FH43","Ruby-throated Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"150","41","10FH52","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
