"","Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1171","1","11NQ79","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1172","1","11NQ88","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"1173","1","11NQ89","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1174","1","11NR70","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"1175","1","11NR80","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1176","1","11NR82","Black-chinned Hummingbird","D","PROB","1","1","10.0","0.2","1","#FFFF00","#FFFF00"
"1177","1","11NR85","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1178","1","11NR90","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1179","1","11NR91","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1180","1","11NR92","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"1181","1","11PQ08","Black-chinned Hummingbird","H","POSS","1","1","5.88","0.1176","1","#FFA500","#FFA500"
"1182","1","11PQ09","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1183","1","11PQ18","Black-chinned Hummingbird","NE","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"1184","1","11PQ25","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1185","1","11PQ34","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1186","1","11PQ36","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1187","1","11PQ43","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1188","2","11NR69","Black-chinned Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"1189","2","11NR79","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1190","2","11NR87","Black-chinned Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"1191","2","11NR88","Black-chinned Hummingbird","H","POSS","1","1","5.0","0.05","1","#FFA500","#FFA500"
"1192","2","11NS43","Black-chinned Hummingbird","H","POSS","1","1","4.35","0.087","1","#FFA500","#FFA500"
"1193","2","11NS51","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1194","2","11NS52","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1195","2","11NS60","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"1196","2","11NS61","Black-chinned Hummingbird","D","PROB","1","1","6.67","0.0667","1","#FFFF00","#FFFF00"
