sp_code, sp_name
LISP,Lincoln\'s Sparrow
LIGU,Little Gull
LIST,Little Stint
LOSH,Loggerhead Shrike
LBCU,Long-billed Curlew
LBDO,Long-billed Dowitcher
LEOW,Long-eared Owl
LTDU,Long-tailed Duck
LTJA,Long-tailed Jaeger
LOWA,Louisiana Waterthrush
MACW,MacGillivray\'s Warbler
MGNW,Magnolia Warbler
MALL,Mallard
MASH,Manx Shearwater
MAGO,Marbled Godwit
MAMU,Marbled Murrelet
MAWR,Marsh Wren
MCLO,McCown\'s Longspur
MERL,Merlin
MEGU,Mew Gull
MOBL,Mountain Bluebird
MOCH,Mountain Chickadee
MOPL,Mountain Plover
MOQU,Mountain Quail
MODO,Mourning Dove
MOWA,Mourning Warbler
MUSW,Mute Swan
NAWA,Nashville Warbler
NSTS,Nelson\'s Sparrow
NOBO,Northern Bobwhite
NOCA,Northern Cardinal
NOFL,Northern Flicker
NOFU,Northern Fulmar
NOGA,Northern Gannet
NOGO,Northern Goshawk
NOHA,Northern Harrier
NHOW,Northern Hawk Owl
NOMO,Northern Mockingbird
NOPA,Northern Parula
NOPI,Northern Pintail
NPOW,Northern Pygmy-Owl
NRWS,Northern Rough-winged Swallow
NSWO,Northern Saw-whet Owl
NOSL,Northern Shoveler
NOSH,Northern Shrike
NOWA,Northern Waterthrush
NOWH,Northern Wheatear
NOCR,Northwestern Crow
OSFL,Olive-sided Flycatcher
OCWA,Orange-crowned Warbler
OROR,Orchard Oriole
OSPR,Osprey
OVEN,Ovenbird
PALO,Pacific Loon
PAWR,Pacific Wren
PSFL,Pacific-slope Flycatcher
PAWA,Palm Warbler
PAJA,Parasitic Jaeger
PESA,Pectoral Sandpiper
PECO,Pelagic Cormorant
PEFA,Peregrine Falcon
PHVI,Philadelphia Vireo
PBGR,Pied-billed Grebe
PIGU,Pigeon Guillemot
PIWO,Pileated Woodpecker
PIGR,Pine Grosbeak
PISI,Pine Siskin
PIWA,Pine Warbler
PIPL,Piping Plover
PLVI,Plumbeous Vireo
POJA,Pomarine Jaeger
PRFA,Prairie Falcon
PRWA,Prairie Warbler
POWA,Prothonotary Warbler
PUFI,Purple Finch
PUMA,Purple Martin
PUSA,Purple Sandpiper
PYNU,Pygmy Nuthatch
RAZO,Razorbill
RECR,Red Crossbill
REKN,Red Knot
REPH,Red Phalarope
RBWO,Red-bellied Woodpecker
RBME,Red-breasted Merganser
RBNU,Red-breasted Nuthatch
RBSA,Red-breasted Sapsucker
REVI,Red-eyed Vireo
RHWO,Red-headed Woodpecker
RLKI,Red-legged Kittiwake
RNSA,Red-naped Sapsucker
RNGR,Red-necked Grebe
RNPL,Red-necked Phalarope
RSHA,Red-shouldered Hawk
RTHA,Red-tailed Hawk
RTTR,Red-tailed Tropicbird
RTLO,Red-throated Loon
RWBL,Red-winged Blackbird
REDH,Redhead
RHAU,Rhinoceros Auklet
RBGU,Ring-billed Gull
RNDU,Ring-necked Duck
RNPH,Ring-necked Pheasant
ROPI,Rock Pigeon
ROPT,Rock Ptarmigan
ROWR,Rock Wren
RBGR,Rose-breasted Grosbeak
ROST,Roseate Tern
ROGO,Ross\'s Goose
ROGU,Ross\'s Gull
RLHA,Rough-legged Hawk
RCKI,Ruby-crowned Kinglet
RTHU,Ruby-throated Hummingbird
